Sint Maarten (Dutch part),
Seychelles,15068.62032
Syrian Arab Republic,
Turks and Caicos Islands,25995.17246
Chad,693.4493865
East Asia & Pacific (IDA & IBRD countries),6682.048699
Europe & Central Asia (IDA & IBRD countries),7651.578313
Togo,597.4710888
Thailand,5994.231475
Tajikistan,802.5180041
Turkmenistan,6389.548408
Latin America & the Caribbean (IDA & IBRD countries),8417.027467
Timor-Leste,1358.201692
Middle East & North Africa (IDA & IBRD countries),3938.533311
Tonga,3966.15652
South Asia (IDA & IBRD),1651.089463
Sub-Saharan Africa (IDA & IBRD countries),1504.238409
Trinidad and Tobago,16176.94737
Tunisia,3697.930831
Turkey,10820.63384
Tuvalu,3255.928693
Tanzania,966.4746224
Uganda,730.6250405
Ukraine,2187.73051
Upper middle income,7629.406856
Uruguay,15387.14403
United States,57927.51685
Uzbekistan,2567.799207
St. Vincent and the Grenadines,7075.06582
"Venezuela, RB",
British Virgin Islands,
Virgin Islands (U.S.),35931.54125
Vietnam,2192.214539
Vanuatu,2889.853036
World,10281.9088
Samoa,4109.165135
Kosovo,3780.003689
"Yemen, Rep.",1033.733043
South Africa,5272.918425
Zambia,1280.578898
Zimbabwe,1464.583529
