"","model_name","make_year","car_price","age"
"168","Ford Fusion",2008,1840,12
"169","Ford Fusion",2014,11500,6
"170","Ford Fusion",2019,15995,1
"171","Ford Fusion",2014,8800,6
"172","Ford Fusion",2007,3250,13
"173","Ford Fusion",2017,10999,3
"174","Ford Fusion",2019,17654,1
"175","Ford Fusion",2015,9990,5
"176","Ford Fusion",2017,9500,3
"177","Ford Fusion",2017,10991,3
"178","Ford Fusion",2019,12996,1
"179","Ford Fusion",2019,14790,1
"180","Ford Fusion",2012,7285,8
"181","Ford Fusion",2010,3270,10
"182","Ford Fusion",2011,4950,9
"183","Ford Fusion",2014,7650,6
"184","Ford Fusion",2017,11979,3
"185","Ford Fusion",2018,13299,2
"186","Ford Fusion",2018,11450,2
"187","Ford Fusion",2017,13798,3
"188","Ford Fusion",2013,13590,7
"189","Ford Fusion",2016,9931,4
"190","Ford Fusion",2010,8911,10
"191","Ford Fusion",2016,11595,4
"192","Ford Fusion",2013,10795,7
"193","Ford Fusion",2014,11990,6
"194","Ford Fusion",2015,9900,5
"195","Ford Fusion",2013,6995,7
"196","Ford Fusion",2016,11988,4
"197","Ford Fusion",2019,16491,1
"198","Ford Fusion",2017,12991,3
"199","Ford Fusion",2017,9450,3
"200","Ford Fusion",2019,13499,1
"201","Ford Fusion",2019,17000,1
"202","Ford Fusion",2013,8000,7
"203","Ford Fusion",2013,7495,7
"204","Ford Fusion",2013,8489,7
"205","Ford Fusion",2019,15900,1
"206","Ford Fusion",2016,9990,4
"207","Ford Fusion",2016,8995,4
"208","Ford Fusion",2013,8150,7
"209","Ford Fusion",2008,3999,12
"210","Ford Fusion",2019,15456,1
"211","Ford Fusion",2017,12696,3
"212","Ford Fusion",2019,15990,1
"213","Ford Fusion",2020,16995,0
"214","Ford Fusion",2016,8900,4
"215","Ford Fusion",2019,14447,1
"216","Ford Fusion",2014,9295,6
"217","Ford Fusion",2014,9987,6
"218","Ford Fusion",2010,8307,10
"219","Ford Fusion",2017,9900,3
"220","Ford Fusion",2019,14158,1
"221","Ford Fusion",2014,8498,6
"222","Ford Fusion",2017,7495,3
"223","Ford Fusion",2014,9000,6
"224","Ford Fusion",2017,13000,3
"225","Ford Fusion",2019,15998,1
