model_name,make_year,car_price,car_description,location,car_colour
Ford Fusion,2016,12096,"No accidents, 1 Owner, Personal use","Memphis, TN","Blue exterior, Black interior"
Ford Fusion,2016,7986,"No accidents, 1 Owner, Personal use","Venice, FL","White exterior, Beige interior"
Ford Fusion,2012,5600,"No accidents, 3 Owners, Personal use","Raleigh, NC","Black exterior, Unknown interior"
Ford Fusion,2019,13979,"No accidents, 1 Owner, Personal use","San Antonio, TX","White exterior, Gray interior"
Ford Fusion,2012,6999,"1 accident, 1 Owner, Personal use","York, ME","Gray exterior, Black interior"
Ford Fusion,2019,14692,"No accidents, 1 Owner, Fleet use","San Jose, CA","White exterior, Black interior"
Ford Fusion,2019,15345,"1 accident, 1 Owner, Fleet use","Naugatuck, CT","Black exterior, Black interior"
Ford Fusion,2020,18288,"No accidents, 1 Owner, Personal use","Harvey, LA","Silver exterior, Unknown interior"
Ford Fusion,2019,16453,"No accidents, 1 Owner, Personal use","Milwaukee, WI","Blue exterior, Gray interior"
Ford Fusion,2013,7995,"No accidents, 2 Owners, Fleet use","Albuquerque, NM","White exterior, Unknown interior"
Ford Fusion,2016,10900,"1 accident, 2 Owners, Personal use","Mableton, GA","White exterior, Black interior"
Ford Fusion,2019,13990,"No accidents, 1 Owner, Personal use","Houston, TX","Gray exterior, Black interior"
Ford Fusion,2015,9994,"No accidents, 1 Owner, Personal use","Oklahoma City, OK","Gray exterior, Black interior"
Ford Fusion,2013,7988,"No accidents, 4 Owners, Personal use","Belton, MO","Unknown exterior, Unknown interior"
Ford Fusion,2019,16900,"No accidents, 1 Owner, Personal use","Jasper, GA","Gray exterior, Black interior"
Ford Fusion,2011,4985,"No accidents, 3 Owners, Personal use","Salem, OR","Maroon exterior, Black interior"
Ford Fusion,2015,7499,"No accidents, 1 Owner, Personal use","Arlington, VA","White exterior, Black interior"
Ford Fusion,2017,13998,"No accidents, 1 Owner, Fleet use","Mt. Juliet, TN","Silver exterior, Black interior"
Ford Fusion,2016,11000,"No accidents, 2 Owners, Fleet use","Fort Wayne, IN","Blue exterior, Black interior"
Ford Fusion,2010,4995,"No accidents, 2 Owners, Personal use","Valparaiso, IN","Gray exterior, Black interior"
Ford Fusion,2014,7859,"1 accident, 1 Owner, Personal use","Kennesaw, GA","Gray exterior, Gray interior"
Ford Fusion,2019,18408,"No accidents, 1 Owner, Fleet use","Bensalem, PA","Black exterior, Black interior"
Ford Fusion,2017,10450,"1 accident, 1 Owner, Fleet use","Oklahoma City, OK","Tan exterior, Gray interior"
Ford Fusion,2013,8779,"1 accident, 2 Owners, Fleet use","Manteca, CA","Black exterior, Black interior"
Ford Fusion,2017,13462,"1 accident, 3 Owners, Fleet use","La Grange, GA","White exterior, Unknown interior"
Ford Fusion,2011,4999,"1 accident, 2 Owners, Fleet use","Williamstown, NJ","Unknown exterior, Gray interior"
Ford Fusion,2019,16125,"No accidents, 1 Owner, Personal use","Hollywood, MD","White exterior, Black interior"
Ford Fusion,2016,9777,"No accidents, 1 Owner, Personal use","Riverside, CA","Red exterior, Black interior"
Ford Fusion,2018,13999,"No accidents, 1 Owner, Personal use","Centennial, CO","White exterior, Black interior"
Ford Fusion,2015,8999,"1 accident, 4 Owners, Fleet use","Jacksonville, FL","Silver exterior, Black interior"
Ford Fusion,2015,7990,"No accidents, 2 Owners, Personal use","Petal, MS","Black exterior, Black interior"
Ford Fusion,2018,13596,"No accidents, 1 Owner, Personal use","Houston, TX","Red exterior, Black interior"
Ford Fusion,2016,9995,"No accidents, 2 Owners, Fleet use","Decatur, IN","Silver exterior, Unknown interior"
Ford Fusion,2019,16900,"No accidents, 1 Owner, Personal use","Peoria, AZ","White exterior, Black interior"
Ford Fusion,2019,17775,"No accidents, 1 Owner, Personal use","Collins, MS","Gold exterior, Gray interior"
Ford Fusion,2018,12556,"No accidents, 1 Owner, Personal use","Monroe, MI","Gray exterior, Unknown interior"
Ford Fusion,2019,14750,"No accidents, 1 Owner, Fleet use","Gilbert, AZ","White exterior, Black interior"
Ford Fusion,2011,9998,"No accidents, Personal use","Webster, TX","White exterior, Gray interior"
Ford Fusion,2018,13500,"No accidents, 1 Owner, Fleet use","Kansas City, KS","Gray exterior, Gray interior"
Ford Fusion,2019,13985,"No accidents, 1 Owner, Personal use","Memphis, TN","Red exterior, Black interior"
Ford Fusion,2014,10500,"1 accident, 2 Owners, Fleet use","Clarksville, TN","Red exterior, Gray interior"
Ford Fusion,2019,14524,"No accidents, 1 Owner, Fleet use","Tempe, AZ","White exterior, Gray interior"
Ford Fusion,2014,7990,"No accidents, 2 Owners, Fleet use","Everett, WA","Red exterior, Gray interior"
Ford Fusion,2015,12000,"No accidents, 2 Owners, Fleet use","Fredericksburg, VA","White exterior, Black interior"
Ford Fusion,2012,7999,"2 accidents, 2 Owners, Personal use","Greensboro, NC","Gray exterior, Black interior"
Ford Fusion,2019,16480,"No accidents, 1 Owner, Personal use","Carson City, NV","Unknown exterior, Black interior"
Ford Fusion,2019,13499,"No accidents, 1 Owner, Personal use","Springfield, IL","Blue exterior, Black interior"
Ford Fusion,2016,10948,"2 accidents, 3 Owners, Fleet use","Cookeville, TN","Red exterior, Black interior"
Ford Fusion,2016,9999,"No accidents, 1 Owner, Personal use","Weatherford, TX","Black exterior, Black interior"
Ford Fusion,2006,3800,"1 accident, 4 Owners, Personal use","Massillon, OH","Maroon exterior, Unknown interior"
Ford Fusion,2014,8950,"No accidents, 1 Owner, Personal use","Bronx, NY","Red exterior, Gray interior"
Ford Fusion,2017,16950,"No accidents, 1 Owner, Personal use","Chattanooga, TN","Gray exterior, Black interior"
Ford Fusion,2018,12496,"No accidents, 1 Owner, Personal use","Murfreesboro, TN","Silver exterior, Black interior"
Ford Fusion,2015,10957,"No accidents, 4 Owners, Fleet use","Marlborough, MA","White exterior, Beige interior"
Ford Fusion,2017,11956,"No accidents, Personal use","Chesterfield, MI","Red exterior, Gray interior"
Ford Fusion,2015,13000,"No accidents, 4 Owners, Fleet use","Honolulu, HI","White exterior, Black interior"
Ford Fusion,2013,13990,"No accidents, 2 Owners, Personal use","Blue Mound, TX","Silver exterior, Black interior"
Ford Fusion,2019,15277,"No accidents, 1 Owner, Personal use","Bennettsville, SC","Silver exterior, Black interior"
Ford Fusion,2019,16535,"No accidents, 1 Owner, Personal use","Fresno, CA","Red exterior, Black interior"
Ford Fusion,2018,16691,"No accidents, 1 Owner, Personal use","Colma, CA","White exterior, Black interior"
Ford Fusion,2019,11388,"No accidents, 1 Owner, Personal use","Davie, FL","Blue exterior, Black interior"
Ford Fusion,2018,13900,"No accidents, 1 Owner, Personal use","North Plainfield, NJ","Gray exterior, Black interior"
Ford Fusion,2018,13097,"No accidents, 1 Owner, Personal use","Santa Clara, CA","Gray exterior, Unknown interior"
Ford Fusion,2015,10000,"1 accident, 4 Owners, Personal use","Ontario, CA","White exterior, Unknown interior"
Ford Fusion,2015,9960,"No accidents, 1 Owner, Personal use","Santa Clara, CA","White exterior, Black interior"
Ford Fusion,2018,13099,"No accidents, 1 Owner, Fleet use","Santa Ana, CA","Black exterior, Black interior"
Ford Fusion,2019,17988,"No accidents, 1 Owner, Personal use","Denton, TX","Blue exterior, Unknown interior"
Ford Fusion,2013,8273,"No accidents, 6 Owners, Personal use","Olympia, WA","Gray exterior, Black interior"
Ford Fusion,2019,16385,"No accidents, 1 Owner, Personal use","Springfield, VA","Blue exterior, Black interior"
Ford Fusion,2015,10591,"No accidents, 2 Owners, Fleet use","Ft. Worth, TX","Red exterior, Unknown interior"
Ford Fusion,2012,7722,"No accidents, 3 Owners, Personal use","Winston Salem, NC","Gray exterior, Unknown interior"
Ford Fusion,2019,14900,"1 accident, 1 Owner, Personal use","Tampa, FL","Black exterior, Black interior"
Ford Fusion,2014,9388,"No accidents, 3 Owners, Personal use","Littleton, CO","White exterior, Beige interior"
Ford Fusion,2012,7995,"1 accident, 3 Owners, Fleet use","Franklin, OH","Black exterior, Unknown interior"
Ford Fusion,2019,14643,"No accidents, 1 Owner, Personal use","Columbia, TN","Silver exterior, Black interior"
Ford Fusion,2018,12795,"No accidents, 2 Owners, Personal use","Richardson, TX","Black exterior, Black interior"
Ford Fusion,2015,9921,"No accidents, 2 Owners, Fleet use","Portland, OR","Gray exterior, Unknown interior"
Ford Fusion,2020,17989,"No accidents, 1 Owner, Personal use","Modesto, CA","White exterior, Black interior"
Ford Fusion,2017,13890,"No accidents, 1 Owner, Personal use","Greatneck, NY","Gray exterior, Gray interior"
Ford Fusion,2013,8591,"No accidents, 2 Owners, Personal use","Houston, TX","Maroon exterior, Beige interior"
Ford Fusion,2016,9500,"No accidents, 2 Owners, Fleet use","Wesley Chapel, FL","White exterior, Black interior"
Ford Fusion,2019,15100,"No accidents, 1 Owner, Fleet use","Gainesville, GA","Blue exterior, Black interior"
Ford Fusion,2014,9243,"No accidents, 2 Owners, Personal use","Austin, TX","Gray exterior, Unknown interior"
Ford Fusion,2012,8090,"No accidents, 3 Owners, Personal use","Englewood, CO","Black exterior, Black interior"
Ford Fusion,2017,12915,"No accidents, 3 Owners, Personal use","Greensboro, NC","Silver exterior, Black interior"
Ford Fusion,2011,6990,"1 accident, 2 Owners, Personal use","Rochester, NY","Maroon exterior, Black interior"
Ford Fusion,2017,13990,"No accidents, Personal use","Rochester, NY","Blue exterior, Unknown interior"
Ford Fusion,2013,8500,"1 accident, 2 Owners, Personal use","Raleigh, NC","Silver exterior, Black interior"
Ford Fusion,2015,13950,"No accidents, 2 Owners, Personal use","Tacoma, WA","Red exterior, Black interior"
Ford Fusion,2015,9788,"No accidents, 2 Owners, Personal use","Kennewick, WA","White exterior, Black interior"
Ford Fusion,2019,14995,"1 accident, 1 Owner, Fleet use","Marietta, GA","Silver exterior, Black interior"
Ford Fusion,2019,16500,"No accidents, 1 Owner, Personal use","Wilson, NC","Gray exterior, Black interior"
Ford Fusion,2020,17377,"No accidents, 1 Owner, Fleet use","Union City, GA","White exterior, Black interior"
Ford Fusion,2019,14000,"No accidents, 1 Owner, Personal use","Rochester, NY","Silver exterior, Gray interior"
Ford Fusion,2016,10995,"No accidents, 1 Owner, Personal use","National City, CA","Silver exterior, Black interior"
Ford Fusion,2017,11490,"No accidents, 2 Owners, Personal use","Kaneohe, HI","Silver exterior, Black interior"
Ford Fusion,2011,6685,"No accidents, 5 Owners, Fleet use","Exton, PA","Black exterior, Unknown interior"
Ford Fusion,2017,12985,"No accidents, 2 Owners, Fleet use","Norman, OK","Blue exterior, Black interior"
Ford Fusion,2014,7200,"No accidents, 3 Owners, Fleet use","Wayne, MI","Black exterior, Black interior"
Ford Fusion,2017,16500,"1 accident, 1 Owner, Personal use","Fort Collins, CO","Silver exterior, Gray interior"
Ford Fusion,2014,7995,"No accidents, 2 Owners, Personal use","San Antonio, TX","Gray exterior, Gray interior"
Ford Fusion,2018,11995,"No accidents, 1 Owner, Personal use","Mesa, AZ","Gray exterior, Black interior"
Ford Fusion,2012,5980,"No accidents, 2 Owners, Personal use","Palmdale, CA","Silver exterior, Gray interior"
Ford Fusion,2019,16900,"No accidents, 1 Owner, Personal use","Jasper, GA","Gray exterior, Black interior"
Ford Fusion,2018,13750,"No accidents, 1 Owner, Personal use","Gilbert, AZ","White exterior, Black interior"
Ford Fusion,2020,14636,"No accidents, 1 Owner, Personal use","Seguin, TX","Blue exterior, Black interior"
Ford Fusion,2019,14997,"No accidents, 1 Owner, Personal use","San Antonio, TX","Silver exterior, Unknown interior"
Ford Fusion,2017,16995,"No accidents, 1 Owner, Personal use","Cedar Rapids, IA","Black exterior, Black interior"
Ford Fusion,2010,6998,"No accidents, 2 Owners, Personal use","Rockville, MD","Gray exterior, Black interior"
Ford Fusion,2017,12900,"No accidents, 2 Owners, Fleet use","North Plainfield, NJ","White exterior, Black interior"
Ford Fusion,2012,8950,"No accidents, 3 Owners, Fleet use","Albuquerque, NM","Gray exterior, Unknown interior"
Ford Fusion,2019,15991,"No accidents, 1 Owner, Personal use","Henderson, NV","Gray exterior, Black interior"
Ford Fusion,2017,13495,"No accidents, 1 Owner, Personal use","Rialto, CA","Red exterior, Black interior"
Ford Fusion,2017,14296,"No accidents, 1 Owner, Personal use","Memphis, TN","Black exterior, Black interior"
Ford Fusion,2020,16896,"No accidents, 1 Owner, Personal use","Tampa, FL","Black exterior, Black interior"
Ford Fusion,2014,7624,"No accidents, 2 Owners, Personal use","Albertville, AL","Silver exterior, Beige interior"
Ford Fusion,2019,12904,"No accidents, 1 Owner, Personal use","Irving, TX","Gray exterior, Gray interior"
Ford Fusion,2019,12995,"No accidents, 1 Owner, Personal use","Buford, GA","Black exterior, Black interior"
Ford Fusion,2013,7895,"No accidents, 3 Owners, Personal use","Williston, VT","Blue exterior, Black interior"
Ford Fusion,2017,11500,"No accidents, 2 Owners, Personal use","Arlington, TX","White exterior, Gray interior"
Ford Fusion,2014,7500,"No accidents, 1 Owner, Personal use","New Braunfels, TX","White exterior, Beige interior"
Ford Fusion,2015,7399,"1 accident, 3 Owners, Fleet use","New Smyrna Beach, FL","Unknown exterior, Unknown interior"
Ford Fusion,2013,8300,"No accidents, 2 Owners, Personal use","Phoenix, AZ","Red exterior, Black interior"
Ford Fusion,2014,7700,"No accidents, 4 Owners, Fleet use","Sandy, UT","Gray exterior, Black interior"
Ford Fusion,2019,17581,"No accidents, 1 Owner, Personal use","Surprise, AZ","Black exterior, Black interior"
Ford Fusion,2011,5880,"No accidents, 1 Owner, Personal use","Lakewood, CO","Gray exterior, Black interior"
Ford Fusion,2014,9811,"No accidents, 1 Owner, Personal use","Kansas City, KS","Black exterior, Black interior"
Ford Fusion,2019,13495,"No accidents, 1 Owner, Personal use","Great Neck, NY","White exterior, Gray interior"
Ford Fusion,2014,8995,"No accidents, 2 Owners, Personal use","Fontana, CA","Silver exterior, Gray interior"
Ford Fusion,2019,17500,"No accidents, 2 Owners, Personal use","Marlborough, MA","Black exterior, Black interior"
Ford Fusion,2017,13843,"No accidents, 1 Owner, Personal use","Daytona Beach, FL","Red exterior, Black interior"
Ford Fusion,2015,10981,"No accidents, 2 Owners, Fleet use","Santa Ana, CA","White exterior, Unknown interior"
Ford Fusion,2017,13699,"No accidents, 1 Owner, Personal use","Smyrna, DE","Black exterior, Unknown interior"
Ford Fusion,2019,13995,"No accidents, 1 Owner, Personal use","Sterling Heights, MI","Gray exterior, Gray interior"
Ford Fusion,2017,15374,"No accidents, 1 Owner, Personal use","Fresno, CA","White exterior, Gray interior"
Ford Fusion,2014,8989,"No accidents, 2 Owners, Fleet use","Pensacola, FL","Gray exterior, Unknown interior"
Ford Fusion,2014,7795,"No accidents, 2 Owners, Personal use","Collinsville, IL","Red exterior, Black interior"
Ford Fusion,2019,12999,"No accidents, 1 Owner, Fleet use","Wayzata, MN","White exterior, Black interior"
Ford Fusion,2014,7998,"1 accident, 3 Owners, Fleet use","Bordentown, NJ","Black exterior, Black interior"
Ford Fusion,2018,12500,"No accidents, 1 Owner, Personal use","Columbus, OH","Red exterior, Black interior"
Ford Fusion,2017,13000,"No accidents, 2 Owners, Personal use","St. Augustine, FL","Gray exterior, Black interior"
Ford Fusion,2013,7995,"No accidents, 2 Owners, Fleet use","Tucson, AZ","Maroon exterior, Black interior"
Ford Fusion,2015,9500,"No accidents, 1 Owner, Personal use","Levittown, PA","Silver exterior, Black interior"
Ford Fusion,2019,17485,"No accidents, 1 Owner, Fleet use","Boise, ID","Gray exterior, Black interior"
Ford Fusion,2017,11487,"No accidents, 1 Owner, Personal use","Westlake, OH","Black exterior, Black interior"
Ford Fusion,2019,16350,"No accidents, 1 Owner, Personal use","Huntsville, AL","Black exterior, Black interior"
Ford Fusion,2017,11990,"No accidents, 1 Owner, Personal use","Blue Mound, TX","Gray exterior, Black interior"
Ford Fusion,2018,14000,"No accidents, 1 Owner, Fleet use","Mattoon, IL","White exterior, Gray interior"
Ford Fusion,2015,10450,"No accidents, 1 Owner, Personal use","Irving, TX","Brown exterior, Unknown interior"
Ford Fusion,2015,10900,"1 accident, 1 Owner, Personal use","Selma, CA","White exterior, Black interior"
Ford Fusion,2014,12649,"No accidents, 2 Owners, Personal use","Hutto, TX","Gray exterior, Unknown interior"
Ford Fusion,2018,11240,"1 accident, 1 Owner, Fleet use","Avenel, NJ","Black exterior, Black interior"
Ford Fusion,2019,14900,"1 accident, 2 Owners, Personal use","Pikeville, KY","White exterior, Black interior"
Ford Fusion,2015,9977,"No accidents, 1 Owner, Personal use","Mt. Juliet, TN","Gray exterior, Gray interior"
Ford Fusion,2019,15632,"No accidents, 1 Owner, Personal use","Sevierville, TN","Silver exterior, Black interior"
Ford Fusion,2019,13990,"No accidents, 1 Owner, Personal use","Streamwood, IL","Silver exterior, Black interior"
Ford Fusion,2019,18995,"2 accidents, 2 Owners, Personal use","El Paso, TX","White exterior, Black interior"
Ford Fusion,2019,16388,"No accidents, 1 Owner, Personal use","Aurora, CO","White exterior, Gray interior"
Ford Fusion,2019,17995,"1 accident, 1 Owner, Personal use","Fuquay Varina, NC","Black exterior, Black interior"
Ford Fusion,2018,13795,"No accidents, 1 Owner, Personal use","Sierra Vista, AZ","White exterior, Gray interior"
Ford Fusion,2014,9999,"1 accident, 3 Owners, Personal use","El Paso, TX","Silver exterior, Gray interior"
Ford Fusion,2018,17999,"No accidents, 1 Owner, Personal use","Jefferson City, MO","Blue exterior, Black interior"
Ford Fusion,2014,7995,"No accidents, 2 Owners, Fleet use","Butler, NJ","Red exterior, Black interior"
Ford Fusion,2017,13988,"No accidents, 1 Owner, Fleet use","Hardeeville, SC","Red exterior, Black interior"
Ford Fusion,2019,18750,"No accidents, 1 Owner, Fleet use","Layton, UT","Black exterior, Black interior"
Ford Fusion,2010,4995,"No accidents, 3 Owners, Fleet use","Tucson, AZ","Gray exterior, Black interior"
Ford Fusion,2014,6973,"No accidents, 3 Owners, Fleet use","Salisbury, NC","Gray exterior, Black interior"
Ford Fusion,2015,11500,"2 accidents, 2 Owners, Fleet use","Belton, TX","Maroon exterior, Unknown interior"
Ford Fusion,2019,17222,"No accidents, 1 Owner, Personal use","Ames, IA","Gray exterior, Black interior"
Ford Fusion,2019,14499,"1 accident, 1 Owner, Personal use","Littleton, CO","Gray exterior, Black interior"
Ford Fusion,2018,13087,"No accidents, 1 Owner, Personal use","Mooresville, IN","White exterior, Unknown interior"
Ford Fusion,2019,17600,"No accidents, 1 Owner, Personal use","Vidalia, GA","Silver exterior, Unknown interior"
Ford Fusion,2012,9600,"No accidents, 2 Owners, Personal use","Dover, DE","Silver exterior, Black interior"
Ford Fusion,2020,15950,"No accidents, 1 Owner, Personal use","Bensenville, IL","Black exterior, Black interior"
Ford Fusion,2018,13488,"No accidents, 1 Owner, Fleet use","Livermore, CA","Silver exterior, Black interior"
Ford Fusion,2017,12849,"No accidents, 1 Owner, Personal use","Pembroke Pines, FL","Black exterior, Black interior"
Ford Fusion,2014,8990,"No accidents, 2 Owners, Fleet use","Costa Mesa, CA","Silver exterior, Unknown interior"
Ford Fusion,2019,13989,"No accidents, 1 Owner, Fleet use","West Valley City, UT","White exterior, Gray interior"
Ford Fusion,2015,9995,"1 accident, 2 Owners, Fleet use","Rocky Mount, NC","Brown exterior, Beige interior"
Ford Fusion,2018,12399,"1 accident, 1 Owner, Personal use","Las Vegas, NV","Gray exterior, Black interior"
Ford Fusion,2019,16985,"No accidents, 1 Owner, Fleet use","Gainesville, FL","White exterior, Black interior"
Ford Fusion,2015,12606,"No accidents, 1 Owner, Personal use","Albany, NY","White exterior, Black interior"
Ford Fusion,2018,15888,"No accidents, 1 Owner, Personal use","Vineland, NJ","White exterior, Black interior"
Ford Fusion,2019,14484,"No accidents, 1 Owner, Personal use","Seffner, FL","White exterior, Unknown interior"
Ford Fusion,2017,12888,"1 accident, 2 Owners, Fleet use","Vineland, NJ","Gray exterior, Gray interior"
Ford Fusion,2016,11590,"No accidents, 2 Owners, Fleet use","Blue Mound, TX","White exterior, Gray interior"
Ford Fusion,2017,15561,"No accidents, 1 Owner, Personal use","Vacaville, CA","Black exterior, Black interior"
Ford Fusion,2013,9995,"No accidents, Personal use","Rocky Mount, NC","Gray exterior, Black interior"
Ford Fusion,2019,16959,"No accidents, 1 Owner, Personal use","Milwaukee, WI","Black exterior, Black interior"
Ford Fusion,2019,16000,"No accidents, 1 Owner, Personal use","Hinesville, GA","Silver exterior, Black interior"
Ford Fusion,2011,6867,"1 accident, 1 Owner, Personal use","Shrewsbury, NJ","Blue exterior, Black interior"
Ford Fusion,2019,15989,"No accidents, 1 Owner, Personal use","Chehalis, WA","Gold exterior, Black interior"
Ford Fusion,2017,11490,"No accidents, 1 Owner, Personal use","Flemington, NJ","White exterior, Black interior"
Ford Fusion,2012,8521,"No accidents, 2 Owners, Fleet use","Lake Jackson, TX","Gray exterior, Black interior"
Ford Fusion,2016,8500,"No accidents, 2 Owners, Personal use","Mount Dora, FL","Red exterior, Black interior"
Ford Fusion,2012,6995,"No accidents, 3 Owners, Personal use","Rocky Mount, NC","Gray exterior, Black interior"
Ford Fusion,2018,13977,"No accidents, 2 Owners, Personal use","Cheyenne, WY","White exterior, Black interior"
Ford Fusion,2019,16467,"No accidents, 1 Owner, Personal use","Fresno, CA","Silver exterior, Black interior"
Ford Fusion,2017,14000,"No accidents, 1 Owner, Personal use","Columbia, MD","White exterior, Black interior"
Ford Fusion,2019,16899,"No accidents, 1 Owner, Personal use","Mechanicsville, VA","Black exterior, Black interior"
Ford Fusion,2015,8750,"No accidents, 3 Owners, Personal use","Chesapeake, VA","Brown exterior, Black interior"
Ford Fusion,2019,14500,"No accidents, 1 Owner, Personal use","Florham Park, NJ","Silver exterior, Gray interior"
Ford Fusion,2015,11590,"No accidents, 2 Owners, Fleet use","Blue Mound, TX","Black exterior, Black interior"
Ford Fusion,2017,12995,"No accidents, 3 Owners, Fleet use","South Amboy, NJ","White exterior, Black interior"
Ford Fusion,2017,9999,"No accidents, 1 Owner, Personal use","Hollywood, FL","Red exterior, Unknown interior"
Ford Fusion,2013,5495,"1 accident, 2 Owners, Personal use","Tampa, FL","Silver exterior, Black interior"
Ford Fusion,2019,16770,"No accidents, 1 Owner, Personal use","Santa Clara, CA","Unknown exterior, Unknown interior"
Ford Fusion,2020,18575,"No accidents, 1 Owner, Personal use","Amherst, VA","Black exterior, Black interior"
Ford Fusion,2011,9590,"No accidents, 3 Owners, Personal use","Blue Mound, TX","Silver exterior, Black interior"
Ford Fusion,2017,11500,"No accidents, 1 Owner, Personal use","Indianapolis, IN","Red exterior, Black interior"
Ford Fusion,2013,5995,"No accidents, 3 Owners, Fleet use","Bountiful, UT","Gray exterior, Unknown interior"
Ford Fusion,2014,9761,"No accidents, 1 Owner, Personal use","Lake Havasu City, AZ","White exterior, Unknown interior"
Ford Fusion,2019,17581,"No accidents, 1 Owner, Personal use","Surprise, AZ","Gray exterior, Black interior"
Ford Fusion,2019,15799,"No accidents, 1 Owner, Personal use","San Marcos, TX","Silver exterior, Black interior"
Ford Fusion,2013,10750,"1 accident, 2 Owners, Personal use","Anchorage, AK","Black exterior, Black interior"
Ford Fusion,2014,8990,"1 accident, 2 Owners, Personal use","Raleigh, NC","Unknown exterior, Unknown interior"
Ford Fusion,2015,10500,"No accidents, 2 Owners, Personal use","Raleigh, NC","Unknown exterior, Unknown interior"
Ford Fusion,2019,15700,"No accidents, 1 Owner, Personal use","O'Fallon, MO","White exterior, Unknown interior"
Ford Fusion,2018,12995,"No accidents, 1 Owner, Personal use","Addison, TX","Blue exterior, Black interior"
Ford Fusion,2019,17490,"No accidents, 1 Owner, Personal use","Pine Bluff, AR","White exterior, Black interior"
Ford Fusion,2019,14711,"No accidents, 1 Owner, Personal use","Harvey, LA","Black exterior, Black interior"
Ford Fusion,2019,15990,"No accidents, 1 Owner, Personal use","Irving, TX","Black exterior, Black interior"
Ford Fusion,2014,9000,"No accidents, 2 Owners, Personal use","Carrollton, TX","White exterior, Beige interior"
Ford Fusion,2016,9648,"No accidents, 2 Owners, Personal use","Cincinnati, OH","Black exterior, Black interior"
Ford Fusion,2016,8321,"No accidents, 3 Owners, Personal use","Irvine, CA","Black exterior, Black interior"
Ford Fusion,2018,16000,"No accidents, 1 Owner, Personal use","Virginia Beach, VA","Gray exterior, Black interior"
Ford Fusion,2011,4777,"No accidents, 4 Owners, Fleet use","Phoenix, AZ","Unknown exterior, Unknown interior"
Ford Fusion,2018,12980,"No accidents, 2 Owners, Fleet use","Seattle, WA","Black exterior, Black interior"
Ford Fusion,2020,16000,"No accidents, 1 Owner, Personal use","Grapevine, TX","Silver exterior, Black interior"
Ford Fusion,2019,15259,"No accidents, 1 Owner, Personal use","Dallas, TX","Gray exterior, Black interior"
Ford Fusion,2013,6775,"No accidents, 2 Owners, Fleet use","Miami, OK","Unknown exterior, Unknown interior"
Ford Fusion,2010,6495,"No accidents, 2 Owners, Personal use","Virginia Beach, VA","Blue exterior, Black interior"
Ford Fusion,2017,13495,"1 accident, 2 Owners, Personal use","Patchogue, NY","Black exterior, Unknown interior"
Ford Fusion,2016,7749,"No accidents, 2 Owners, Fleet use","Buckeye, AZ","Gray exterior, Black interior"
Ford Fusion,2019,14771,"No accidents, 1 Owner, Personal use","Sterling, VA","Black exterior, Gray interior"
Ford Fusion,2017,11995,"1 accident, 1 Owner, Personal use","Patchogue, NY","White exterior, Unknown interior"
Ford Fusion,2018,13500,"No accidents, 1 Owner, Fleet use","Mattoon, IL","Gray exterior, Gray interior"
Ford Fusion,2019,12111,"1 accident, 1 Owner, Personal use","Davie, FL","White exterior, Gray interior"
Ford Fusion,2010,5900,"2 accidents, 1 Owner, Personal use","Chesapeake, VA","Black exterior, Black interior"
Ford Fusion,2019,16965,"No accidents, 1 Owner, Personal use","Waco, TX","White exterior, Black interior"
Ford Fusion,2013,9849,"No accidents, 2 Owners, Fleet use","Tinley Park, IL","Blue exterior, Unknown interior"
Ford Fusion,2019,15400,"No accidents, 1 Owner, Personal use","Pikeville, KY","White exterior, Unknown interior"
Ford Fusion,2015,9995,"No accidents, 1 Owner, Personal use","Fredericksburg, VA","Maroon exterior, Black interior"
Ford Fusion,2019,15891,"No accidents, 2 Owners, Personal use","Katy, TX","Black exterior, Black interior"
Ford Fusion,2011,6800,"No accidents, 3 Owners, Personal use","Tigard, OR","White exterior, Unknown interior"
Ford Fusion,2019,15200,"No accidents, 1 Owner, Personal use","Hialeah, FL","Unknown exterior, Unknown interior"
Ford Fusion,2016,11598,"No accidents, 1 Owner, Personal use","Tracy, CA","Black exterior, Unknown interior"
Ford Fusion,2018,12300,"No accidents, 2 Owners, Fleet use","St. Louis, MO","Gray exterior, Black interior"
Ford Fusion,2011,5995,"No accidents, 1 Owner, Personal use","Omaha, NE","Gray exterior, Unknown interior"
Ford Fusion,2017,11499,"No accidents, 1 Owner, Personal use","Memphis, TN","Red exterior, Black interior"
Ford Fusion,2019,15777,"No accidents, 2 Owners, Personal use","Arlington, VA","Black exterior, Black interior"
Ford Fusion,2019,18395,"No accidents, 1 Owner, Personal use","Concord, CA","Silver exterior, Black interior"
Ford Fusion,2016,10800,"No accidents, 2 Owners, Fleet use","Palmdale, CA","Black exterior, Black interior"
Ford Fusion,2018,14500,"No accidents, 1 Owner, Personal use","Grapevine, TX","Black exterior, Black interior"
Ford Fusion,2019,16500,"No accidents, 1 Owner, Personal use","Morrison, TN","Black exterior, Unknown interior"
Ford Fusion,2011,7995,"No accidents, 1 Owner, Personal use","Fontana, CA","Gray exterior, Black interior"
Ford Fusion,2019,14493,"No accidents, 1 Owner, Personal use","Olathe, KS","Red exterior, Gray interior"
Ford Fusion,2017,11691,"No accidents, 1 Owner, Personal use","Wickliffe, OH","Black exterior, Black interior"
Ford Fusion,2018,12999,"No accidents, 2 Owners, Fleet use","Phoenix, AZ","Black exterior, Black interior"
