model_name,make_year,car_price,car_description,location,car_colour
Ford Fusion,2011,5000,"No accidents, 3 Owners, Personal use","Jasper, AL","Maroon exterior, Gray interior"
Ford Fusion,2017,10999,"No accidents, 2 Owners, Fleet use","Carol Stream, IL","Blue exterior, Black interior"
Ford Fusion,2013,10595,"No accidents, 2 Owners, Fleet use","North Plainfield, NJ","Unknown exterior, Black interior"
Ford Fusion,2015,10999,"No accidents, 2 Owners, Fleet use","Carol Stream, IL","Black exterior, Black interior"
Ford Fusion,2019,14250,"1 accident, 1 Owner, Personal use","Sacramento, CA","Red exterior, Black interior"
Ford Fusion,2012,3800,"3 accidents, 3 Owners, Fleet use","Greensboro, NC","Unknown exterior, Unknown interior"
Ford Fusion,2013,8101,"No accidents, 4 Owners, Fleet use","Ogden, UT","White exterior, Black interior"
Ford Fusion,2016,8400,"No accidents, 2 Owners, Personal use","Chesapeake, VA","Silver exterior, Gray interior"
Ford Fusion,2017,11998,"No accidents, 1 Owner, Personal use","Hanford, CA","White exterior, Black interior"
Ford Fusion,2014,9995,"1 accident, 3 Owners, Fleet use","Phoenix, AZ","Unknown exterior, Unknown interior"
Ford Fusion,2012,5999,"No accidents, 3 Owners, Personal use","Bellevue, NE","Gray exterior, Black interior"
Ford Fusion,2014,10590,"No accidents, 2 Owners, Personal use","Blue Mound, TX","Gray exterior, Black interior"
Ford Fusion,2011,7632,"No accidents, 2 Owners, Fleet use","Fairfield, OH","Black exterior, Black interior"
Ford Fusion,2016,8990,"2 accidents, 3 Owners, Personal use","Graham, NC","Silver exterior, Black interior"
Ford Fusion,2006,2998,"2 accidents, 4 Owners, Fleet use","Centennial, CO","Blue exterior, Gray interior"
Ford Fusion,2017,9976,"1 accident, 1 Owner, Personal use","Prattville, AL","White exterior, Black interior"
Ford Fusion,2014,6995,"No accidents, 2 Owners, Fleet use","Chesapeake, VA","Black exterior, Unknown interior"
Ford Fusion,2012,6299,"1 accident, 2 Owners, Personal use","Seattle, WA","Black exterior, Unknown interior"
Ford Fusion,2019,15170,"No accidents, 2 Owners, Personal use","Tempe, AZ","Gray exterior, Gray interior"
Ford Fusion,2017,9900,"1 accident, 2 Owners, Personal use","Houston, TX","Blue exterior, Black interior"
Ford Fusion,2010,6995,"No accidents, 3 Owners, Fleet use","Fredericksburg, VA","Green exterior, Gray interior"
Ford Fusion,2019,16996,"No accidents, 1 Owner, Personal use","Arlington, TX","Black exterior, Unknown interior"
Ford Fusion,2012,7935,"No accidents, 3 Owners, Fleet use","Longmont, CO","Gray exterior, Gray interior"
Ford Fusion,2018,14000,"No accidents, 1 Owner, Personal use","Greensboro, NC","White exterior, Unknown interior"
Ford Fusion,2011,3495,"3 accidents, 5 Owners, Fleet use","Garland, TX","Silver exterior, Black interior"
Ford Fusion,2018,16000,"No accidents, 2 Owners, Personal use","Longview, WA","Silver exterior, Unknown interior"
Ford Fusion,2013,7500,"No accidents, 1 Owner, Personal use","Morrison, TN","White exterior, Unknown interior"
Ford Fusion,2013,9990,"No accidents, 2 Owners, Personal use","Blue Mound, TX","Blue exterior, Beige interior"
Ford Fusion,2011,5900,"No accidents, 4 Owners, Fleet use","Tucson, AZ","Unknown exterior, Black interior"
Ford Fusion,2019,16494,"1 accident, 1 Owner, Personal use","Myrtle Beach, SC","Black exterior, Black interior"
Ford Fusion,2013,9495,"1 accident, 2 Owners, Fleet use","Hudson, WI","Silver exterior, Black interior"
Ford Fusion,2012,4999,"1 accident, 3 Owners, Fleet use","Snellville, GA","Black exterior, Black interior"
Ford Fusion,2016,7455,"No accidents, 2 Owners, Personal use","Bowling Green, KY","Silver exterior, Black interior"
Ford Fusion,2017,9821,"No accidents, 2 Owners, Fleet use","Frankfort, KY","White exterior, Unknown interior"
Ford Fusion,2019,14999,"No accidents, 2 Owners, Personal use","Stonewall, LA","Red exterior, Black interior"
Ford Fusion,2017,7897,"No accidents, 1 Owner, Personal use","Pacoima, CA","White exterior, Black interior"
Ford Fusion,2014,8888,"No accidents, 3 Owners, Personal use","Fontana, CA","Gray exterior, Gray interior"
Ford Fusion,2013,7993,"No accidents, 1 Owner, Personal use","Rockwall, TX","Red exterior, Black interior"
Ford Fusion,2013,7900,"No accidents, 2 Owners, Personal use","Downers Grove, IL","Gray exterior, Black interior"
Ford Fusion,2014,10000,"No accidents, 4 Owners, Personal use","Sacramento, CA","White exterior, Black interior"
Ford Fusion,2019,14982,"No accidents, 1 Owner, Fleet use","Jacksonville, FL","Unknown exterior, Gray interior"
Ford Fusion,2010,3995,"No accidents, 2 Owners, Personal use","Tampa, FL","Beige exterior, Beige interior"
Ford Fusion,2017,15985,"No accidents, 1 Owner, Personal use","Plymouth, MA","Gray exterior, Black interior"
Ford Fusion,2014,7995,"No accidents, 2 Owners, Personal use","Phoenix, AZ","Gray exterior, Gray interior"
Ford Fusion,2013,7500,"No accidents, 2 Owners, Personal use","Overland Park, KS","Black exterior, Black interior"
Ford Fusion,2018,12294,"No accidents, 1 Owner, Personal use","Glendale, CA","White exterior, Black interior"
Ford Fusion,2014,8995,"No accidents, 3 Owners, Fleet use","Sacramento, CA","Silver exterior, Beige interior"
Ford Fusion,2011,6499,"No accidents, 1 Owner, Personal use","Centennial, CO","Gray exterior, Black interior"
Ford Fusion,2016,11574,"No accidents, 3 Owners, Fleet use","Vacaville, CA","Gray exterior, Black interior"
Ford Fusion,2011,8950,"2 accidents, 1 Owner, Fleet use","Old Hickory, TN","Green exterior, Unknown interior"
Ford Fusion,2016,7500,"No accidents, 2 Owners, Personal use","Savannah, GA","Silver exterior, Black interior"
Ford Fusion,2014,10590,"No accidents, 1 Owner, Personal use","Blue Mound, TX","Silver exterior, Gray interior"
Ford Fusion,2011,5999,"1 accident, 1 Owner, Personal use","Rio Linda, CA","White exterior, Gray interior"
Ford Fusion,2011,6326,"No accidents, 2 Owners, Personal use","Perrysburg, OH","White exterior, Black interior"
Ford Fusion,2017,9499,"No accidents, 2 Owners, Fleet use","Everett, WA","White exterior, Black interior"
Ford Fusion,2016,8700,"No accidents, 2 Owners, Fleet use","Phoenix, AZ","Black exterior, Unknown interior"
Ford Fusion,2016,8490,"No accidents, 1 Owner, Personal use","Tomball, TX","Black exterior, Black interior"
Ford Fusion,2018,11995,"No accidents, 3 Owners, Fleet use","Fuquay Varina, NC","Gray exterior, Gray interior"
Ford Fusion,2013,6977,"No accidents, 2 Owners, Personal use","Lawrenceburg, TN","Gray exterior, Unknown interior"
Ford Fusion,2018,12888,"No accidents, 1 Owner, Personal use","Winslow, AZ","White exterior, Unknown interior"
Ford Fusion,2019,14400,"No accidents, 1 Owner, Personal use","St Charles, IL","Gray exterior, Black interior"
Ford Fusion,2016,8985,"No accidents, 1 Owner, Personal use","Fayetteville, NC","Brown exterior, Black interior"
Ford Fusion,2013,5987,"No accidents, 1 Owner, Personal use","Odessa, TX","Unknown exterior, Unknown interior"
Ford Fusion,2019,14995,"No accidents, 1 Owner, Fleet use","Killeen, TX","White exterior, Black interior"
Ford Fusion,2017,11993,"No accidents, 2 Owners, Personal use","Hot Springs, AR","White exterior, Black interior"
Ford Fusion,2019,13499,"No accidents, 1 Owner, Personal use","Fairfield, OH","White exterior, Gray interior"
Ford Fusion,2012,3450,"No accidents, 2 Owners, Personal use","Raleigh, NC","White exterior, Unknown interior"
Ford Fusion,2017,10900,"No accidents, 1 Owner, Personal use","Selma, CA","Red exterior, Black interior"
Ford Fusion,2018,11786,"No accidents, 1 Owner, Personal use","Houston, TX","Blue exterior, Black interior"
Ford Fusion,2012,5999,"1 accident, 2 Owners, Personal use","Denver, CO","Blue exterior, Beige interior"
Ford Fusion,2015,11590,"No accidents, 1 Owner, Personal use","Blue Mound, TX","Silver exterior, Black interior"
Ford Fusion,2009,4400,"1 accident, 2 Owners, Fleet use","Indianapolis, IN","Black exterior, Black interior"
Ford Fusion,2014,8693,"No accidents, 2 Owners, Fleet use","Glen Burnie, MD","White exterior, Black interior"
Ford Fusion,2019,13400,"No accidents, 2 Owners, Personal use","Lincoln, NE","Black exterior, Unknown interior"
Ford Fusion,2019,17977,"No accidents, 1 Owner, Personal use","Milwaukee, WI","Red exterior, Brown interior"
Ford Fusion,2016,8988,"No accidents, 1 Owner, Personal use","Burleson, TX","Gray exterior, Beige interior"
Ford Fusion,2013,8599,"No accidents, 2 Owners, Personal use","Lewisville, TX","White exterior, Unknown interior"
Ford Fusion,2011,3900,"No accidents, 2 Owners, Fleet use","Scottsdale, AZ","Silver exterior, Unknown interior"
Ford Fusion,2012,4399,"1 accident, 2 Owners, Personal use","Lakewood, NJ","Blue exterior, Black interior"
Ford Fusion,2019,12890,"No accidents, 1 Owner, Personal use","Greatneck, NY","Silver exterior, Black interior"
Ford Fusion,2020,16745,"No accidents, 1 Owner, Personal use","Rock Springs, WY","Black exterior, Unknown interior"
Ford Fusion,2012,6250,"No accidents, 2 Owners, Personal use","Norcross, GA","Gray exterior, Gray interior"
Ford Fusion,2017,10995,"No accidents, 2 Owners, Fleet use","Escondido, CA","White exterior, Black interior"
Ford Fusion,2018,10498,"No accidents, 1 Owner, Fleet use","Sacramento, CA","White exterior, Unknown interior"
Ford Fusion,2011,5999,"No accidents, 1 Owner, Personal use","Rio Linda, CA","White exterior, Gray interior"
Ford Fusion,2015,11487,"No accidents, 1 Owner, Personal use","Selma, CA","Silver exterior, Unknown interior"
Ford Fusion,2010,6800,"No accidents, 2 Owners, Personal use","Ansonia, CT","Gray exterior, Gray interior"
Ford Fusion,2013,6950,"No accidents, 2 Owners, Fleet use","Mt. Juliet, TN","White exterior, Black interior"
Ford Fusion,2013,10990,"No accidents, 2 Owners, Personal use","Blue Mound, TX","Silver exterior, Black interior"
Ford Fusion,2016,9991,"1 accident, 3 Owners, Fleet use","Arlington, TX","Silver exterior, Black interior"
Ford Fusion,2012,7991,"1 accident, 1 Owner, Personal use","Katy, TX","Silver exterior, Black interior"
Ford Fusion,2016,8900,"1 accident, 2 Owners, Personal use","Tampa, FL","White exterior, Black interior"
Ford Fusion,2012,4995,"No accidents, 4 Owners, Fleet use","Charlotte, NC","Brown exterior, Unknown interior"
Ford Fusion,2015,10499,"No accidents, 2 Owners, Personal use","Mocksville, NC","Black exterior, Black interior"
Ford Fusion,2008,3000,"1 accident, 2 Owners, Personal use","Mason City, IA","Black exterior, Black interior"
Ford Fusion,2018,13990,"1 accident, 1 Owner, Personal use","Wilmington, NC","Blue exterior, Black interior"
Ford Fusion,2013,8990,"1 accident, 4 Owners, Personal use","Everett, WA","Black exterior, Black interior"
Ford Fusion,2014,7843,"1 accident, 1 Owner, Personal use","Castroville, TX","Red exterior, Black interior"
Ford Fusion,2018,11995,"No accidents, 1 Owner, Personal use","Sterling Heights, MI","Gray exterior, Black interior"
Ford Fusion,2017,10999,"1 accident, 3 Owners, Fleet use","Hollywood, FL","Silver exterior, Unknown interior"
Ford Fusion,2016,8988,"No accidents, 2 Owners, Fleet use","Aurora, CO","Black exterior, Black interior"
Ford Fusion,2018,12590,"No accidents, 1 Owner, Fleet use","Concord, CA","Silver exterior, Gray interior"
Ford Fusion,2017,10991,"No accidents, 2 Owners, Personal use","Livermore, CA","White exterior, Black interior"
Ford Fusion,2019,12431,"No accidents, 1 Owner, Personal use","Margate, FL","Gray exterior, Gray interior"
Ford Fusion,2017,12992,"1 accident, 1 Owner, Personal use","Colorado Springs, CO","White exterior, Unknown interior"
Ford Fusion,2015,7776,"No accidents, 2 Owners, Fleet use","Commerce, CA","White exterior, Unknown interior"
