"id","neighbourhood_cleansed","latitude","longitude","property_type","room_type","accommodates","bathrooms_text","bedrooms","beds","price","minimum_nights","number_of_reviews","first_review","last_review","review_scores_rating","review_scores_accuracy","review_scores_cleanliness","review_scores_checkin","review_scores_communication","review_scores_location","review_scores_value","instant_bookable","Air_conditioning","Baby_monitor","Baby_safety_gates","Bathtub","Bed_linens","Breakfast","Building_staff","Carbon_monoxide_alarm","Changing_table","Children\u2019s_dinnerware","Cleaning_before_checkout","Coffee_maker","Cooking_basics","Dedicated_workspace","Dishes_and_silverware","Elevator","Essentials","Ethernet_connection","EV_charger","Extra_pillows_and_blankets","Fire_extinguisher","First_aid_kit","Free_residential_garage_on_premises","Game_console","Garden_or_backyard","Gym","Hangers","High_chair","Host_greets_you","Hot_tub","Hot_water","Indoor_fireplace","Iron","Kitchen","Lockbox","Long_term_stays_allowed","Luggage_dropoff_allowed","Microwave","Nespresso_coffee_machine","Outlet_covers","Patio_or_balcony","Private_entrance","Room-darkening_shades","Single_level_home","Smoke_alarm","Waterfront","stove_agg","Wifi_agg","TV_agg","oven_agg","refrigerator","soap_agg","BBQ_agg","toys_agg","crib_agg","parking_agg","shampoo_agg","heating_agg","washer_agg","conditioner_agg","dry_agg"
73208,"Zuid",52.35935,4.87672,"Entire apartment","Entire home/apt",4,"3 baths",2,0,220,5,62,"2011-03-14","2019-07-06",99,10,10,10,10,10,10,"f",0,0,0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,1,1,0,0,0,0,1,1,1,1,0,1
82748,"Centrum-West",52.37307,4.89343,"Entire apartment","Entire home/apt",4,"1 bath",1,2,249,3,131,"2011-04-11","2020-01-02",96,10,9,10,10,10,9,"f",0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,1
83814,"De Pijp - Rivierenbuurt",52.35632,4.88921,"Entire apartment","Entire home/apt",2,"1 bath",NA,1,45,2,157,"2011-04-18","2020-03-03",94,9,9,9,9,10,9,"f",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
107195,"Centrum-Oost",52.37007,4.9196,"Entire apartment","Entire home/apt",2,"1 bath",1,1,150,2,37,"2011-09-12","2019-12-31",95,9,9,10,10,9,9,"t",0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,1,0,1
108890,"De Baarsjes - Oud-West",52.36083,4.85667,"Entire apartment","Entire home/apt",4,"1 bath",1,2,100,5,3,"2017-04-09","2018-05-30",100,10,10,10,10,10,10,"f",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1
141708,"Oostelijk Havengebied - Indische Buurt",52.36674,4.93748,"Entire apartment","Entire home/apt",3,"1 bath",2,2,145,4,86,"2011-06-28","2020-01-02",95,9,10,10,10,9,9,"f",0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1
155548,"Oud-Oost",52.36528,4.9301,"Entire apartment","Entire home/apt",2,"1 bath",1,1,150,7,21,"2011-09-27","2019-08-20",95,10,10,10,10,9,9,"f",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
162467,"De Baarsjes - Oud-West",52.36368,4.85506,"Entire apartment","Entire home/apt",2,"1 bath",1,1,160,3,56,"2013-01-22","2020-09-27",95,10,9,10,10,9,9,"f",0,0,0,0,1,0,0,1,0,0,0,1,1,1,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,1,1,1,0,0,0,0,1,1,1,0,1
165833,"De Baarsjes - Oud-West",52.37336,4.85754,"Entire apartment","Entire home/apt",4,"2 baths",3,4,112,2,41,"2014-09-16","2020-03-10",97,10,10,10,10,10,10,"f",0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,1,1,0,0,1,1,0,0,1,0,0,0,1,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,1
171054,"De Baarsjes - Oud-West",52.36916,4.86643,"Entire apartment","Entire home/apt",3,"1 bath",2,3,120,3,103,"2011-07-18","2018-11-28",95,10,10,10,10,9,9,"f",0,0,0,0,1,0,0,1,0,0,0,1,1,1,1,0,1,0,0,1,1,1,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,1,1,0,1
171498,"Zuid",52.3559,4.87919,"Entire apartment","Entire home/apt",4,"1.5 baths",3,2,249,2,5,"2020-01-13","2020-03-02",100,10,10,10,10,10,10,"f",0,0,0,0,1,0,0,1,0,0,0,1,1,1,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0
171631,"De Baarsjes - Oud-West",52.36339,4.85402,"Entire apartment","Entire home/apt",6,"1 bath",3,3,97,4,48,"2011-07-25","2019-09-17",96,9,9,10,10,9,9,"f",0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,1,1,1,1,1,0,0,0,0,1,1,1,1,0,1
174592,"Centrum-Oost",52.36208,4.9101,"Entire apartment","Entire home/apt",2,"1 bath",1,1,170,2,139,"2011-08-09","2019-09-29",86,8,7,8,8,9,7,"f",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,1
175989,"Zuid",52.35883,4.86647,"Entire apartment","Entire home/apt",4,"1 bath",1,2,200,2,102,"2011-09-21","2020-07-14",97,10,9,10,10,10,10,"f",0,0,0,0,1,0,0,1,0,0,0,1,1,1,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,1,0,0,1,0,0,0,1,0,1,1,1,1,1,0,0,0,1,1,1,1,1,0,1
179528,"De Pijp - Rivierenbuurt",52.34332,4.89484,"Entire apartment","Entire home/apt",3,"1.5 baths",2,2,275,21,27,"2011-09-11","2019-11-18",89,9,9,10,10,9,9,"f",0,0,0,0,1,0,0,1,0,0,0,1,1,1,1,0,1,1,0,1,1,1,0,0,0,0,1,0,1,0,1,0,1,1,0,1,1,0,0,0,1,0,0,0,1,0,1,1,1,1,1,0,0,0,0,1,1,1,1,0,1
182839,"Oud-Noord",52.38624,4.90067,"Entire apartment","Entire home/apt",2,"1 bath",2,2,125,30,15,"2012-03-26","2012-07-26",98,10,10,10,10,10,10,"f",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,1
198307,"Centrum-West",52.38393,4.89237,"Entire apartment","Entire home/apt",2,"1.5 baths",1,1,129,3,41,"2011-08-29","2020-02-20",99,10,10,10,10,10,10,"f",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1
199844,"Westerpark",52.38351,4.87573,"Entire apartment","Entire home/apt",3,"1 bath",1,2,99,5,42,"2011-09-14","2017-05-02",96,10,10,10,10,9,9,"f",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1
200461,"De Baarsjes - Oud-West",52.35931,4.86111,"Entire apartment","Entire home/apt",2,"1 bath",NA,3,71,5,42,"2011-08-29","2020-10-31",87,9,9,9,10,9,8,"f",0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,1
201322,"Centrum-West",52.37184,4.88171,"Entire apartment","Entire home/apt",3,"1 bath",1,3,81,1,68,"2011-11-09","2020-11-27",93,10,10,10,10,10,9,"f",0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,1,1,1,1,1,1,0,0,0,1,1,1,1,0,1
203658,"Zuid",52.34744,4.86886,"Entire apartment","Entire home/apt",4,"1.5 baths",3,4,284,3,24,"2012-01-04","2017-07-02",97,10,10,10,10,10,9,"f",0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,1,0,1
205759,"De Baarsjes - Oud-West",52.36889,4.86429,"Entire apartment","Entire home/apt",2,"1 bath",1,1,99,1,2,"2015-07-20","2015-07-27",90,10,10,10,10,9,8,"f",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
212050,"De Baarsjes - Oud-West",52.36895,4.86452,"Entire apartment","Entire home/apt",4,"1.5 baths",2,3,246,3,20,"2012-04-09","2020-08-11",96,10,9,10,10,10,9,"f",0,0,0,0,1,0,0,0,0,1,0,1,1,1,1,0,1,0,0,1,1,0,0,0,1,1,1,0,0,0,1,0,1,1,0,0,0,1,0,1,1,0,1,0,1,0,1,1,1,1,1,0,0,0,0,0,1,1,1,0,1
213721,"Zuid",52.35165,4.84653,"Entire apartment","Entire home/apt",2,"1 bath",1,1,151,2,41,"2011-10-11","2019-05-11",99,10,10,10,10,10,9,"f",0,0,0,0,1,0,0,1,0,0,0,1,1,1,1,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,1,1,1,0,1,0,0,0,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0
