"id","price","neighbourhood","property_type","room_type","d_baby_monitor","d_baby_safety_gates","d_bathtub","d_bed_linens","d_breakfast","d_building_staff","d_carbon_monoxide_alarm","d_changing_table","d_childrenu2019s_dinnerware","d_cleaning_before_checkout","d_coffee_maker","d_cooking_basics","d_dedicated_workspace","d_dishes_and_silverware","d_elevator","d_essentials","d_ethernet_connection","d_ev_charger","d_extra_pillows_and_blankets","d_fire_extinguisher","d_first_aid_kit","d_free_residential_garage_on_premises","d_game_console","d_garden_or_backyard","d_gym","d_hangers","d_high_chair","d_host_greets_you","d_hot_tub","d_hot_water","d_indoor_fireplace","d_iron","d_kitchen","d_lockbox","d_long_term_stays_allowed","d_luggage_dropoff_allowed","d_microwave","d_nespresso_coffee_machine","d_outlet_covers","d_patio_or_balcony","d_private_entrance","d_roomdarkening_shades","d_single_level_home","d_smoke_alarm","d_waterfront","d_stove_agg","d_wifi_agg","d_tv_agg","d_oven_agg","d_refrigerator","d_soap_agg","d_bbq_agg","d_toys_agg","d_crib_agg","d_parking_agg","d_shampoo_agg","d_heating_agg","d_washer_agg","d_conditioner_agg","d_dry_agg","d_instant_bookable_t","f_room_type","f_neighbourhood","f_room_type2","n_accommodates","n_bathrooms","n_bedrooms","n_beds","n_minimum_nights","n_number_of_reviews","n_review_scores_rating"
6116478,299,"Zuid","Entire apartment","Entire home/apt",0,0,1,1,0,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,1,1,1,0,0,1,0,1,1,1,0,1,1,1,1,1,0,0,0,0,1,1,1,1,0,1,0,"Entire home/apt","Zuid","Entire/Apt",4,NA,3,4,3,5,96
6117354,130,"De Baarsjes - Oud-West","Entire apartment","Entire home/apt",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,"Entire home/apt","De Baarsjes - Oud-West","Entire/Apt",2,NA,1,1,2,4,95
6118374,96,"De Pijp - Rivierenbuurt","Entire apartment","Entire home/apt",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,"Entire home/apt","De Pijp - Rivierenbuurt","Entire/Apt",3,1,1,1,1,13,97
6119654,128,"Centrum-Oost","Entire apartment","Entire home/apt",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,"Entire home/apt","Centrum-Oost","Entire/Apt",2,1,1,1,2,53,95
6129376,280,"Zuid","Entire apartment","Entire home/apt",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,"Entire home/apt","Zuid","Entire/Apt",5,NA,3,4,4,14,99
6136389,125,"Oud-Oost","Entire apartment","Entire home/apt",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,"Entire home/apt","Oud-Oost","Entire/Apt",5,1,2,2,1,2,90
6144445,85,"De Baarsjes - Oud-West","Entire apartment","Entire home/apt",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,"Entire home/apt","De Baarsjes - Oud-West","Entire/Apt",2,1,1,1,4,3,100
6144821,250,"De Baarsjes - Oud-West","Entire apartment","Entire home/apt",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,"Entire home/apt","De Baarsjes - Oud-West","Entire/Apt",6,NA,3,4,3,0,NA
6149173,300,"Oostelijk Havengebied - Indische Buurt","Entire apartment","Entire home/apt",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,1,1,0,1,0,"Entire home/apt","Oostelijk Havengebied - Indische Buurt","Entire/Apt",2,1,1,1,365,0,NA
6149310,119,"De Pijp - Rivierenbuurt","Entire apartment","Entire home/apt",0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,1,1,0,1,0,"Entire home/apt","De Pijp - Rivierenbuurt","Entire/Apt",2,NA,1,1,2,20,100
6149840,120,"Oostelijk Havengebied - Indische Buurt","Entire apartment","Entire home/apt",0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,1,1,0,0,0,1,0,0,0,1,0,1,1,0,1,1,1,0,0,0,1,1,1,1,0,1,0,"Entire home/apt","Oostelijk Havengebied - Indische Buurt","Entire/Apt",2,1,1,1,4,26,96
6150149,125,"De Baarsjes - Oud-West","Entire apartment","Entire home/apt",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,"Entire home/apt","De Baarsjes - Oud-West","Entire/Apt",2,1,1,1,3,10,91
6150342,90,"De Baarsjes - Oud-West","Entire apartment","Entire home/apt",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,"Entire home/apt","De Baarsjes - Oud-West","Entire/Apt",2,1,1,1,6,2,80
6150980,165,"Centrum-West","Entire apartment","Entire home/apt",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,"Entire home/apt","Centrum-West","Entire/Apt",2,1,1,1,4,16,98
6151560,100,"De Baarsjes - Oud-West","Entire apartment","Entire home/apt",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,"Entire home/apt","De Baarsjes - Oud-West","Entire/Apt",2,1,NA,1,1,4,95
6159241,180,"Oud-Oost","Entire apartment","Entire home/apt",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,"Entire home/apt","Oud-Oost","Entire/Apt",4,1,2,2,1,0,NA
6160039,182,"De Baarsjes - Oud-West","Entire apartment","Entire home/apt",0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,0,0,0,1,0,0,1,1,0,1,0,"Entire home/apt","De Baarsjes - Oud-West","Entire/Apt",2,1,1,1,3,1,100
6161365,113,"Oostelijk Havengebied - Indische Buurt","Entire apartment","Entire home/apt",0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,1,1,0,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,"Entire home/apt","Oostelijk Havengebied - Indische Buurt","Entire/Apt",2,1,1,2,2,18,98
6179047,98,"Zuid","Entire apartment","Entire home/apt",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,"Entire home/apt","Zuid","Entire/Apt",2,1,1,1,2,3,100
6182797,99,"Bos en Lommer","Entire apartment","Entire home/apt",0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,"Entire home/apt","Bos en Lommer","Entire/Apt",4,1,3,5,7,3,100
6194719,90,"Oud-Oost","Entire apartment","Entire home/apt",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,"Entire home/apt","Oud-Oost","Entire/Apt",2,1,1,1,6,9,98
